"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","test one","API","2025-11-11","passed","2025-11-11","my tests","Tests\trials_hooks.spec.ts","",""
"","60","test two","API","2025-11-11","passed","2025-11-11","my tests","Tests\trials_hooks.spec.ts","",""
